,MDDN,MDUN,MDDS,MDUS,MDDF,MDUF,VMDN,VMUN,VMDS,VMUS,VMDF,VMUF,TPVDN,TPVUN,TPVDS,TPVUS,TPVDF,TPVUF,AMPDN,AMPUN,AMPDS,AMPUS,AMPDF,AMPUF
,0.67,0.81,0.75,0.85,0.68,0.57,1625.384037120898,1219.779454311697,1473.999812841862,1272.8061028216416,1564.158334209742,1784.242156339883,0.5223880597014925,0.48148148148148145,0.52,0.4823529411764706,0.4852941176470588,0.49122807017543857,609.0347357832238,556.9342778818269,620.0825761337504,606.288296528205,604.0573562718247,581.979130757685
,0.89,0.76,0.61,0.79,0.65,0.65,1163.6234667026656,1357.1448615827649,1804.5826911978793,1277.9236435844496,1658.7953236855128,1637.7459451914547,0.5056179775280899,0.4868421052631579,0.5081967213114754,0.4936708860759494,0.5230769230769231,0.5076923076923077,599.2887817155557,580.5352773059769,631.1349451074994,581.7595772512262,595.2537602266843,608.3480129181352
,0.62,0.68,0.82,1.12,0.6,0.55,1769.114149119082,1474.4590535331781,1302.053606217578,843.6939910157434,1705.6173300939463,1972.5613292946036,0.45161290322580644,0.5,0.4878048780487805,0.375,0.5,0.509090909090909,627.1663163384025,558.515637419234,599.2431603860862,553.9014361158019,587.4203798295574,629.963379882418
,1.03,0.66,0.8,0.92,0.57,0.6,980.688544615532,1537.6353095499326,1266.4829097504025,1125.6870132352788,1940.3478081933372,1709.28130369457,0.4368932038834951,0.48484848484848486,0.5375,0.4673913043478261,0.5087719298245614,0.5166666666666667,590.4065069430478,562.1597842044133,571.4007095913098,593.271804318483,636.4988058509718,591.9963355937606
,0.85,0.69,0.86,1.11,0.6,0.59,1158.3611709480465,1464.6758522953633,1231.2698371102897,958.3595904128288,1816.1550288779608,1757.6258028956318,0.47058823529411764,0.5072463768115942,0.47674418604651164,0.32432432432432434,0.5,0.4915254237288136,545.079587634617,574.3581958926351,623.0086389674467,594.0972297843001,633.298285749113,597.6951547610431
,1.11,0.78,0.96,1.51,0.66,0.63,896.325252020938,1313.35221371437,1126.1156064271063,666.4714771759577,1700.083675799442,1657.4969013348436,0.4144144144144144,0.47435897435897434,0.5416666666666666,0.31788079470198677,0.5151515151515151,0.47619047619047616,597.6245545927727,577.3125358738104,614.3973252420773,601.1046022920045,641.8596340943179,593.928015080805
,0.96,0.78,1.39,1.47,0.61,0.58,1180.1011082170817,1310.9730640531552,688.3337042390622,645.6642706991715,1805.831216514207,1825.1480039275748,0.3854166666666667,0.5128205128205128,0.5683453237410072,0.3945578231292517,0.5081967213114754,0.5,595.9636793538945,591.2617312422312,595.2334666369559,588.275280776457,634.9288187455845,606.3424390342016
,0.99,0.66,1.28,1.32,0.67,0.58,1032.1428076228813,1527.641406946509,699.0167133823206,743.4901492712811,1531.809337205891,1765.9518406512461,0.40404040404040403,0.48484848484848486,0.3671875,0.36363636363636365,0.5074626865671642,0.5,601.5613228911207,572.8289859753454,608.5156152455907,608.4602605771391,567.2330856975458,589.7036749318684
,0.7,0.97,1.44,1.1,0.6,0.58,1488.7082425402468,1105.9103191076929,618.2210644676616,947.5641988071857,1747.9261090045839,1806.0186727255768,0.5428571428571428,0.3917525773195876,0.4930555555555556,0.41818181818181815,0.5,0.5172413793103449,570.2798213626319,576.7820372327001,592.7110876310579,571.6920306555119,603.9939787026378,600.3738417563025
,0.89,1.21,1.27,1.63,0.56,0.62,1168.031439599531,805.827456303382,827.4579204282418,655.1111733466314,1960.0002489174813,1648.171054661043,0.449438202247191,0.371900826446281,0.3700787401574803,0.32515337423312884,0.5178571428571429,0.4838709677419355,587.4016146705052,599.6761612929682,597.0513429653738,565.5155659632062,632.0058442377791,580.7470479240375
,0.66,0.87,1.44,1.75,0.63,0.56,1660.8666384957814,1199.327250919987,619.2848855363081,566.8442365120768,1643.5145881846438,1892.7105707262626,0.48484848484848486,0.41379310344827586,0.3402777777777778,0.2857142857142857,0.5079365079365079,0.5,613.6740249511897,552.7775851204434,580.0718536378043,586.2528646587921,589.3685943814211,610.7828323955408
,0.84,0.96,1.95,1.27,0.58,0.59,1266.4019193706963,1045.959581194461,478.845060092749,778.5200216439989,1857.3393200798137,1653.2088600606812,0.44047619047619047,0.4895833333333333,0.441025641025641,0.3464566929133858,0.5,0.4915254237288136,583.2367921278678,604.6790660872971,604.6293655378038,598.5497995929096,623.7601437094918,559.4008425472185
,1.1,0.83,1.88,1.52,0.58,0.58,979.3906617937182,1206.0258679741082,538.1927103805765,785.3070308185124,1900.373893496544,1822.9786267490454,0.39090909090909093,0.4457831325301205,0.3882978723404255,0.2894736842105263,0.5,0.5,594.3114600454287,553.1451560166322,615.1381993349514,578.1125063519689,628.9261317228926,605.0599817658612
,1.36,1.02,1.61,1.23,0.58,0.59,672.6749177214401,1005.1106300507399,541.5284860638621,847.3541916980821,1771.6961348995937,1790.9352286015292,0.6544117647058824,0.37254901960784315,0.43478260869565216,0.35772357723577236,0.5172413793103449,0.4915254237288136,607.8201551110291,553.396551136563,589.5154257366755,581.9253684547153,588.6565793154184,603.3236418577668
,0.96,0.73,1.86,1.29,0.57,0.65,1074.2220087920487,1428.831534738515,436.80435240485167,823.3950558407741,1830.601147581342,1620.4320477197598,0.4895833333333333,0.4520547945205479,0.45698924731182794,0.4418604651162791,0.5087719298245614,0.49230769230769234,585.7276628283241,566.1764564470648,574.8144116711608,584.7004875725562,601.1705971642618,596.7700855713676
,0.81,0.8,1.92,1.47,0.58,0.6,1342.1130191856037,1262.062188700179,430.74409098733213,695.4982605625105,1885.3472469385451,1778.222033168936,0.5679012345679012,0.45,0.4375,0.35374149659863946,0.5172413793103449,0.5,604.1750991473864,569.9613165524611,579.2808306321931,609.8606358330767,630.4389128530765,604.411957566911
,1.01,0.97,1.84,1.62,0.59,0.6,1029.0221793732371,1033.6894118888495,692.9618316559299,621.6087547532084,1801.3443565157786,1654.4812406134952,0.5346534653465347,0.4536082474226804,0.43478260869565216,0.3395061728395062,0.5084745762711864,0.48333333333333334,607.6368668389449,581.8240485100675,589.3364109128149,588.1551705726638,612.2565406225682,567.8794231914578
,0.91,0.95,1.39,1.92,0.57,0.59,1052.8939063375901,1127.9480901045872,719.4929159166804,412.9511047299957,1810.6118426702324,1699.779794777669,0.4725274725274725,0.43157894736842106,0.2446043165467626,0.2604166666666667,0.5087719298245614,0.5084745762711864,572.0280092046636,560.926287649961,572.4054982137644,559.8604161024017,588.9261713002372,574.4704845789809
,0.9,0.95,1.15,1.22,0.57,0.58,1153.7701959391597,1072.5621797883832,881.5825203376562,724.9000271538989,1967.2477720728011,1704.381143318892,0.5666666666666667,0.42105263157894735,0.591304347826087,0.38524590163934425,0.5087719298245614,0.5,564.9670175351755,559.547820760093,602.136095453754,552.2625902287658,639.1430107059479,569.8020304586223
,1.14,NA,2.12,1.47,0.59,0.57,843.7644642934401,NA,365.63032098890744,665.5960481961756,1755.266619592453,1742.5017519643006,0.35964912280701755,NA,0.2830188679245283,0.29931972789115646,0.5084745762711864,0.49122807017543857,566.4651812248142,NA,546.8816951762594,558.051228672349,590.0221362468758,566.3433629452142
